permit,streetname,from_st,to_st
./out/14TOC-3811.csv,21ST AVE,RIVERA ST,SANTIAGO ST
./out/14TOC-3811.csv,21ST AVE,SANTIAGO ST,TARAVAL ST
./out/14TOC-3811.csv,IRVING ST,21ST AVE,Intersection
./out/14TOC-3811.csv,JUDAH ST,21ST AVE,Intersection
./out/14TOC-3811.csv,KIRKHAM ST,21ST AVE,Intersection
./out/14TOC-3811.csv,LAWTON ST,21ST AVE,Intersection
./out/14TOC-3811.csv,MORAGA ST,21ST AVE,Intersection
./out/14TOC-3811.csv,NORIEGA ST,21ST AVE,Intersection
./out/14TOC-3811.csv,ORTEGA ST,21ST AVE,Intersection
./out/14TOC-3811.csv,PACHECO ST,21ST AVE,Intersection
./out/14TOC-3811.csv,QUINTARA ST,21ST AVE,Intersection
./out/14TOC-3811.csv,RIVERA ST,21ST AVE,Intersection
./out/14TOC-3811.csv,SANTIAGO ST,21ST AVE,Intersection
./out/14TOC-3835.csv,KIRKHAM ST,19TH AVE,20TH AVE
./out/15TOC-0090.csv,KIRKHAM ST,20TH AVE,Intersection
./out/15TOC-0412.csv,20TH AVE,LINCOLN WAY,IRVING ST
./out/15TOC-0412.csv,20TH AVE,IRVING ST,JUDAH ST
./out/15TOC-0412.csv,20TH AVE,JUDAH ST,KIRKHAM ST
./out/15TOC-0412.csv,20TH AVE,KIRKHAM ST,LAWTON ST
./out/15TOC-0412.csv,20TH AVE,LAWTON ST,MORAGA ST
./out/15TOC-0412.csv,20TH AVE,MORAGA ST,NORIEGA ST
./out/15TOC-0412.csv,20TH AVE,NORIEGA ST,ORTEGA ST
./out/15TOC-0412.csv,20TH AVE,ORTEGA ST,PACHECO ST
./out/15TOC-0412.csv,20TH AVE,PACHECO ST,QUINTARA ST
./out/15TOC-0412.csv,20TH AVE,QUINTARA ST,RIVERA ST
./out/15TOC-0412.csv,20TH AVE,RIVERA ST,SANTIAGO ST
./out/15TOC-0412.csv,20TH AVE,SANTIAGO ST,TARAVAL ST
./out/15TOC-0412.csv,21ST AVE,LINCOLN WAY,IRVING ST
./out/15TOC-0412.csv,21ST AVE,IRVING ST,JUDAH ST
./out/15TOC-0412.csv,21ST AVE,JUDAH ST,KIRKHAM ST
./out/15TOC-0412.csv,21ST AVE,KIRKHAM ST,LAWTON ST
./out/15TOC-0412.csv,21ST AVE,LAWTON ST,MORAGA ST
./out/15TOC-0412.csv,21ST AVE,MORAGA ST,NORIEGA ST
./out/15TOC-0412.csv,21ST AVE,NORIEGA ST,ORTEGA ST
./out/15TOC-0412.csv,21ST AVE,ORTEGA ST,PACHECO ST
./out/15TOC-0412.csv,21ST AVE,PACHECO ST,QUINTARA ST
./out/15TOC-0412.csv,21ST AVE,QUINTARA ST,RIVERA ST
./out/15TOC-0412.csv,21ST AVE,RIVERA ST,SANTIAGO ST
./out/15TOC-0412.csv,21ST AVE,SANTIAGO ST,TARAVAL ST
./out/15TOC-0412.csv,IRVING ST,20TH AVE,Intersection
./out/15TOC-0412.csv,IRVING ST,21ST AVE,Intersection
./out/15TOC-0412.csv,JUDAH ST,20TH AVE,Intersection
./out/15TOC-0412.csv,JUDAH ST,21ST AVE,Intersection
./out/15TOC-0412.csv,KIRKHAM ST,20TH AVE,Intersection
./out/15TOC-0412.csv,KIRKHAM ST,21ST AVE,Intersection
./out/15TOC-0412.csv,LAWTON ST,20TH AVE,Intersection
./out/15TOC-0412.csv,LAWTON ST,21ST AVE,Intersection
./out/15TOC-0412.csv,MORAGA ST,20TH AVE,Intersection
./out/15TOC-0412.csv,MORAGA ST,21ST AVE,Intersection
./out/15TOC-0412.csv,NORIEGA ST,20TH AVE,Intersection
./out/15TOC-0412.csv,NORIEGA ST,21ST AVE,Intersection
./out/15TOC-0412.csv,ORTEGA ST,20TH AVE,Intersection
./out/15TOC-0412.csv,ORTEGA ST,21ST AVE,Intersection
./out/15TOC-0412.csv,PACHECO ST,20TH AVE,Intersection
./out/15TOC-0412.csv,PACHECO ST,21ST AVE,Intersection
./out/15TOC-0412.csv,QUINTARA ST,20TH AVE,Intersection
./out/15TOC-0412.csv,QUINTARA ST,21ST AVE,Intersection
./out/15TOC-0412.csv,RIVERA ST,20TH AVE,Intersection
./out/15TOC-0412.csv,RIVERA ST,21ST AVE,Intersection
./out/15TOC-0412.csv,SANTIAGO ST,20TH AVE,Intersection
./out/15TOC-0412.csv,SANTIAGO ST,21ST AVE,Intersection
./out/15TOC-2145.csv,19TH AVE,KIRKHAM ST,LAWTON ST
./out/15TOC-2145.csv,KIRKHAM ST,19TH AVE,20TH AVE
./out/15TOC-5384.csv,22ND AVE,LINCOLN WAY,IRVING ST
./out/15TOC-5384.csv,22ND AVE,IRVING ST,JUDAH ST
./out/15TOC-5384.csv,22ND AVE,JUDAH ST,KIRKHAM ST
./out/15TOC-5384.csv,22ND AVE,KIRKHAM ST,LAWTON ST
./out/15TOC-5384.csv,22ND AVE,LAWTON ST,MORAGA ST
./out/15TOC-5384.csv,22ND AVE,MORAGA ST,NORIEGA ST
./out/15TOC-5384.csv,22ND AVE,NORIEGA ST,ORTEGA ST
./out/15TOC-5384.csv,22ND AVE,ORTEGA ST,PACHECO ST
./out/15TOC-5384.csv,22ND AVE,PACHECO ST,QUINTARA ST
./out/15TOC-5384.csv,22ND AVE,QUINTARA ST,RIVERA ST
./out/15TOC-5384.csv,22ND AVE,RIVERA ST,SANTIAGO ST
./out/15TOC-5384.csv,22ND AVE,SANTIAGO ST,TARAVAL ST
./out/15TOC-5384.csv,23RD AVE,LINCOLN WAY,IRVING ST
./out/15TOC-5384.csv,23RD AVE,IRVING ST,JUDAH ST
./out/15TOC-5384.csv,23RD AVE,JUDAH ST,KIRKHAM ST
./out/15TOC-5384.csv,23RD AVE,KIRKHAM ST,LAWTON ST
./out/15TOC-5384.csv,23RD AVE,LAWTON ST,MORAGA ST
./out/15TOC-5384.csv,23RD AVE,MORAGA ST,NORIEGA ST
./out/15TOC-5384.csv,23RD AVE,NORIEGA ST,ORTEGA ST
./out/15TOC-5384.csv,23RD AVE,ORTEGA ST,PACHECO ST
./out/15TOC-5384.csv,23RD AVE,PACHECO ST,QUINTARA ST
./out/15TOC-5384.csv,24TH AVE,LINCOLN WAY,IRVING ST
./out/15TOC-5384.csv,24TH AVE,IRVING ST,JUDAH ST
./out/15TOC-5384.csv,24TH AVE,JUDAH ST,KIRKHAM ST
./out/15TOC-5384.csv,24TH AVE,KIRKHAM ST,LAWTON ST
./out/15TOC-5384.csv,24TH AVE,LAWTON ST,MORAGA ST
./out/15TOC-5384.csv,24TH AVE,MORAGA ST,NORIEGA ST
./out/15TOC-5384.csv,24TH AVE,NORIEGA ST,ORTEGA ST
./out/15TOC-5384.csv,24TH AVE,ORTEGA ST,PACHECO ST
./out/15TOC-5384.csv,24TH AVE,PACHECO ST,QUINTARA ST
